programme	 跳转链接
材料科学与工程（研究型）	https://www.xjtlu.edu.cn/zh/study/masters/materials-science-and-engineering
城市规划与设计	https://www.xjtlu.edu.cn/zh/study/masters/msc-urban-planning
创业与创新-创意科技方向	https://www.xjtlu.edu.cn/zh/study/masters/entrepreneurship-and-innovation
创业与创新-风险投资方向	https://www.xjtlu.edu.cn/zh/study/masters/entrepreneurship-and-innovation
创业与创新-技术转移方向	https://www.xjtlu.edu.cn/zh/study/masters/entrepreneurship-and-innovation
创业与创新-可持续解决方案与创新技术应用方向	https://www.xjtlu.edu.cn/zh/study/masters/entrepreneurship-and-innovation
创业与创新-企业和谐治理、创新与传承方向	https://www.xjtlu.edu.cn/zh/study/masters/entrepreneurship-and-innovation
创业与创新-全球公共卫生方向	https://www.xjtlu.edu.cn/zh/study/masters/entrepreneurship-and-innovation
创业与创新-商业与人工智能创新方向	https://www.xjtlu.edu.cn/zh/study/masters/entrepreneurship-and-innovation
创业与创新-战略人力资源管理方向	https://www.xjtlu.edu.cn/zh/study/masters/entrepreneurship-and-innovation
创业与创新-智慧城市方向	https://www.xjtlu.edu.cn/zh/study/masters/entrepreneurship-and-innovation
创业与创新-智慧康养管理方向	https://www.xjtlu.edu.cn/zh/study/masters/entrepreneurship-and-innovation
创业与创新-智能机器人方向	https://www.xjtlu.edu.cn/zh/study/masters/entrepreneurship-and-innovation
低碳电力与能源技术 (研究型)	https://www.xjtlu.edu.cn/zh/study/masters/low-carbon-electrical-power-and-energy-technology
对外英语教育	https://www.xjtlu.edu.cn/zh/study/masters/ma-tesol
多媒体通信	https://www.xjtlu.edu.cn/zh/study/masters/multimedia-telecommunications
儿童发展与家庭教育学	https://www.xjtlu.edu.cn/zh/study/masters/child-development-family-education
分子生物学（研究型）	https://www.xjtlu.edu.cn/zh/study/masters/mres-molecular-bioscience
高级化学（研究型）	https://www.xjtlu.edu.cn/zh/study/masters/mres-advanced-chemical-sciences
工业设计	https://www.xjtlu.edu.cn/zh/study/masters/mdes-industrial-design
管理学	https://www.xjtlu.edu.cn/zh/study/masters/msc-management
国际工商管理（非全日制）	https://www.xjtlu.edu.cn/zh/study/masters/international-mba
国际关系	https://www.xjtlu.edu.cn/zh/study/masters/international-relations
国际化教育	https://www.xjtlu.edu.cn/zh/study/masters/global-education
国际建筑专业实践	https://www.xjtlu.edu.cn/zh/study/masters/international-professional-practice-in-architecture
国际商务与全球事务	https://www.xjtlu.edu.cn/zh/study/masters/international-business-and-global-affairs
环境科学（研究型）	https://www.xjtlu.edu.cn/zh/study/masters/environmental-sciences
计算机科学（研究型）	https://www.xjtlu.edu.cn/zh/study/masters/mres-computer-science
建筑工程管理	https://www.xjtlu.edu.cn/zh/study/masters/construction-management
建筑设计	https://www.xjtlu.edu.cn/zh/study/masters/master-of-architectural-design
金融计算	https://www.xjtlu.edu.cn/zh/study/masters/msc-financial-computing
金融数学	https://www.xjtlu.edu.cn/zh/study/masters/msc-financial-mathematics
金融学	https://www.xjtlu.edu.cn/zh/study/masters/msc-finance
经济与金融	https://www.xjtlu.edu.cn/zh/study/masters/msc-economics-and-finance
精算学	https://www.xjtlu.edu.cn/zh/study/masters/actuarial-science
可持续房屋设计与工程	https://www.xjtlu.edu.cn/zh/study/masters/masters-msc-sustainable-construction
可持续能源技术	https://www.xjtlu.edu.cn/zh/study/masters/msc-sustainable-energy-technology
媒介与传播	https://www.xjtlu.edu.cn/zh/study/masters/msc-media-and-communication
模式识别和智能系统（研究型）	https://www.xjtlu.edu.cn/zh/study/masters/pattern-recognition-and-intelligent-systems
人工智能	https://www.xjtlu.edu.cn/zh/study/masters/msc-artificial-intelligence
人机交互	https://www.xjtlu.edu.cn/zh/study/masters/human-computer-interaction
商业分析	https://www.xjtlu.edu.cn/zh/study/masters/msc-business-analytics
社会网络计算技术	https://www.xjtlu.edu.cn/zh/study/masters/msc-social-computing
生物信息学（研究型）	https://www.xjtlu.edu.cn/zh/study/masters/mres-bioinformatics
数据科学	https://www.xjtlu.edu.cn/zh/study/masters/data-science
数字化教育	https://www.xjtlu.edu.cn/zh/study/masters/digital-education
数字化商业	https://www.xjtlu.edu.cn/zh/study/masters/msc-digital-business
投资管理	https://www.xjtlu.edu.cn/zh/study/masters/msc-investment-management
土木工程	https://www.xjtlu.edu.cn/zh/study/masters/msc-civil-engineering
文化与创意产业	https://www.xjtlu.edu.cn/zh/study/masters/cultural-and-creative-industries
先进机器人技术系统	https://www.xjtlu.edu.cn/zh/study/masters/msc-in-advanced-robotics-systems
先进微电子技术与材料（研究型）	https://www.xjtlu.edu.cn/zh/study/masters/mres-advanced-microelectronic-technology-and-materials
项目管理	https://www.xjtlu.edu.cn/zh/study/masters/msc-project-management
药物化学（研究型）	https://www.xjtlu.edu.cn/zh/study/masters/medicinal-chemistry
药学（研究型）	https://www.xjtlu.edu.cn/zh/study/masters/pharmaceutical-sciences-2
应用数学	https://www.xjtlu.edu.cn/zh/study/masters/yingyongshuxue
应用统计学（生物统计方向）	https://www.xjtlu.edu.cn/zh/study/masters/applied-statistics
应用信息学	https://www.xjtlu.edu.cn/zh/study/masters/msc-applied-informatics
应用语言学和多语研究	https://www.xjtlu.edu.cn/zh/study/masters/applied-linguistics
运营与供应链管理	https://www.xjtlu.edu.cn/zh/study/masters/msc-operations-and-supply-chain-management
智能工程科学与工业运营	https://www.xjtlu.edu.cn/zh/study/masters/msc-intelligent-engineering-science-and-industrial-operations
中国研究	https://www.xjtlu.edu.cn/zh/study/masters/china-studies
专业会计	https://www.xjtlu.edu.cn/zh/study/masters/professional-accounting
